0,0
0.00034271,0.10028
0.00091157,0.2003
0.0019337,0.30032
0.0036537,0.40023
0.0061368,0.49909
0.0090952,0.59765
0.011783,0.69508
0.013784,0.79105
0.015024,0.88704
0.015902,0.98343
0.016743,1.0809
0.018145,1.1796
0.020331,1.2781
0.024288,1.3768
0.029285,1.4765
0.033893,1.5768
0.037822,1.6779
0.041358,1.7787
0.044616,1.8793
0.047874,1.9797
0.051552,2.0805
0.055573,2.181
0.060162,2.2798
0.064742,2.3783
0.06869,2.4765
0.072988,2.5736
0.078355,2.6703
0.083148,2.767
0.087383,2.8645
0.091855,2.9624
0.096052,3.06
0.099983,3.1576
0.10431,3.2544
0.10852,3.3511
0.10852,3.3511
0.11269,3.4014
0.12618,3.4509
0.14878,3.4971
0.1799,3.5378
0.1799,3.5378
0.27931,3.5384
0.37799,3.5398
0.4755,3.5421
0.57182,3.5458
0.66781,3.5505
0.76343,3.5561
0.85802,3.5626
0.95134,3.5689
1.0444,3.5754
1.1374,3.5826
1.2305,3.5894
1.3235,3.5953
1.4161,3.6002
1.5093,3.605
1.6035,3.611
1.6991,3.6165
1.7954,3.6211
1.8915,3.6261
1.9869,3.6315
2.0811,3.6369
2.1748,3.642
2.2681,3.6473
2.3615,3.6527
2.4549,3.6578
2.5482,3.6626
2.6416,3.6672
2.7354,3.6715
2.8288,3.6752
2.9222,3.6791
3.0165,3.683
3.1114,3.6862
3.2069,3.6886
3.303,3.6902
3.3986,3.6909
3.3986,3.6909
3.4493,3.6846
3.4983,3.6666
3.5432,3.6384
3.5817,3.6024
3.5817,3.6024
3.5817,3.502
3.5811,3.4014
3.5803,3.301
3.5801,3.2011
3.5803,3.1014
3.5809,3.0013
3.5816,2.9011
3.582,2.8006
3.5818,2.6997
3.5796,2.5985
3.5773,2.4975
3.576,2.3974
3.5742,2.2977
3.5715,2.1987
3.5683,2.1007
3.564,2.0025
3.5585,1.9039
3.5528,1.8047
3.5474,1.7037
3.5433,1.6008
3.5403,1.4985
3.5366,1.3965
3.5316,1.2945
3.5273,1.1927
3.5242,1.0914
3.5219,0.99102
3.5209,0.89088
3.52,0.79044
3.5187,0.68983
3.5178,0.58983
3.5172,0.49031
3.5164,0.39122
3.5163,0.29254
3.5176,0.19364
3.5176,0.19364
3.5146,0.16412
3.5055,0.13584
3.4903,0.10946
3.4698,0.087028
3.4698,0.087028
3.3687,0.086759
3.2674,0.086769
3.1653,0.086991
3.0628,0.086733
2.9607,0.086909
2.8596,0.088059
2.759,0.090089
2.659,0.09264
2.5586,0.095717
2.4585,0.099475
2.36,0.10318
2.2621,0.10665
2.1642,0.11115
2.0662,0.11624
1.9686,0.12146
1.8717,0.12628
1.7749,0.12992
1.6785,0.13325
1.5825,0.13707
1.486,0.14188
1.3903,0.147
1.2954,0.15257
1.1999,0.15891
1.1047,0.16599
1.0098,0.17312
0.91431,0.17943
0.81889,0.18554
0.72321,0.19209
0.62593,0.19868
0.52789,0.20529
0.43067,0.21186
0.3347,0.21826
0.23928,0.22534
0.14467,0.233
0.14467,0.233
0.095189,0.23904
0.04803,0.25579
0.0061755,0.28178
-0.028357,0.31637
